id,answer
1,1
2,3
3,3
4,3
5,0
6,0
7,2
8,2
9,0
10,1
11,0
12,2
13,1
14,1
15,1
16,1
17,2
18,3
19,1
20,2
21,1
22,1
23,0
24,3
25,0
26,2
27,1
28,3
29,1
30,2
31,2
32,2
33,2
34,0
35,3
36,1
37,3
38,2
39,2
40,1
41,3
42,1
43,1
44,0
45,1
46,3
47,0
48,2
49,2
50,0
51,0
52,0
53,0
54,1
55,3
56,2
57,1
58,3
59,2
60,2
61,1
62,1
63,0
64,1
65,2
66,1
67,0
68,1
69,2
70,1
71,3
72,3
73,2
74,3
75,0
76,3
77,0
78,3
79,0
80,1
81,0
82,3
83,3
84,0
85,1
86,1
87,0
88,0
89,1
90,2
91,3
92,1
93,0
94,3
95,2
96,1
97,1
98,0
99,2
100,1
101,0
102,1
103,1
104,3
105,1
106,2
107,1
108,0
109,1
110,1
111,0
112,3
113,1
114,3
115,2
116,3
117,0
118,3
119,0
120,2
121,1
122,0
123,3
124,2
125,3
126,0
127,3
128,3
129,1
130,3
131,0
132,2
133,2
134,0
135,3
136,2
137,2
138,1
139,2
140,1
141,2
142,1
143,2
144,1
145,3
146,3
147,1
148,3
149,3
150,0
151,3
152,2
153,1
154,3
155,1
156,3
157,1
158,2
159,0
160,1
161,0
162,2
163,1
164,1
165,2
166,3
167,1
168,3
169,1
170,0
171,2
172,0
173,1
174,3
175,2
176,2
177,1
178,1
179,0
180,2
181,1
182,0
183,1
184,3
185,2
186,0
187,2
188,2
189,1
190,3
191,0
192,2
193,2
194,0
195,1
196,1
197,3
198,0
199,2
200,0
201,0
202,0
203,2
204,3
205,3
206,1
207,0
208,2
209,2
210,0
211,0
212,2
213,2
214,3
215,2
216,3
217,1
218,2
219,1
220,0
221,1
222,0
223,2
224,1
225,2
226,3
227,3
228,2
229,3
230,0
231,0
232,3
233,0
234,1
235,3
236,1
237,1
238,1
239,0
240,3
241,1
242,0
243,1
244,1
245,2
246,0
247,0
248,1
249,1
250,0
251,1
252,2
253,1
254,0
255,2
256,0
257,0
258,3
259,0
260,3
261,2
262,1
263,3
264,3
265,0
266,0
267,3
268,3
269,1
270,3
271,3
272,1
273,0
274,3
275,3
276,3
277,1
278,0
279,2
280,3
281,3
282,0
283,3
284,3
285,1
286,3
